x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
679667.74,4461987.47,0.1,0.0,6.225589441863773,0
679667.74,4461987.47,0.1,0.0,6.225589441863773,0.005095793
679667.75,4461987.47,0.1,0.0,6.226462106489771,3.372220475
679667.74,4461987.47,0.1,0.0,6.22663663941497,3.603024879
679667.75,4461987.47,0.1,0.0,6.226811172340169,4.305185835
679667.74,4461987.47,0.16,0.06,6.227160238190568,6.472335903
679667.74,4461987.47,0.3,0.2,6.22698570526537,6.70775478
679667.73,4461987.48,0.53,0.43,6.226811172340169,6.97747233
679667.71,4461987.49,0.82,0.72,6.226811172340169,7.212557441
679667.71,4461987.49,1.17,1.07,6.226811172340169,7.445822627
679667.7,4461987.49,1.57,1.47,6.22698570526537,7.677877704
679667.7,4461987.5,2.01,1.91,6.22698570526537,7.907958592
679667.7,4461987.51,2.47,2.37,6.22698570526537,8.172987361
679667.7,4461987.51,2.96,2.86,6.22698570526537,8.406690196
679667.69,4461987.52,3.46,3.36,6.2276838369661665,8.641980092
679667.69,4461987.52,3.97,3.87,6.2276838369661665,8.877586253
679667.68,4461987.52,4.49,4.39,6.227509304040966,9.111432772
679667.68,4461987.52,5.01,4.91,6.227509304040966,9.376514849
679667.67,4461987.52,5.55,5.45,6.227509304040966,9.607980623
679667.67,4461987.52,6.09,5.99,6.227509304040966,9.841339022
679667.67,4461987.52,6.63,6.53,6.2276838369661665,10.076137819
679667.67,4461987.52,7.17,7.07,6.2276838369661665,10.310760663
679667.67,4461987.53,7.68,7.58,6.227509304040966,10.576347305
679667.67,4461987.53,8.16,8.06,6.227509304040966,10.807750191
679667.67,4461987.53,8.58,8.48,6.227509304040966,11.040664706
679667.66,4461987.53,8.94,8.84,6.227509304040966,11.275626652
679667.66,4461987.53,9.22,9.12,6.227509304040966,11.511127436
