x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
678377.53,4461637.97,30.0,0.0,6.227509304040966,0
678377.53,4461637.97,30.0,0.0,6.227509304040966,0.121569538
678377.53,4461637.96,30.0,0.0,6.228207435741766,2.521442902
678377.53,4461637.97,30.0,0.0,6.228207435741766,2.754996769
678377.53,4461637.96,29.99,0.0,6.228381968666964,3.22151656
678377.53,4461637.96,30.0,0.01,6.229080100367763,5.620758719
678377.53,4461637.96,30.03,0.04,6.229080100367763,5.854864589
678377.53,4461637.96,30.05,0.06,6.229254633292962,6.126384749
678377.53,4461637.96,30.08,0.09,6.229254633292962,6.359342694
678377.53,4461637.96,30.11,0.12,6.229254633292962,6.590580761
678377.53,4461637.97,30.21,0.22,6.229080100367763,6.821019312
678377.52,4461637.97,30.4,0.41,6.228731034517364,7.053732667
678377.5,4461637.98,30.67,0.68,6.228731034517364,7.321304053
678377.49,4461637.99,31.01,1.02,6.228731034517364,7.558722803
678377.49,4461637.99,31.4,1.41,6.228905567442562,7.793789605
678377.48,4461638.0,31.83,1.84,6.228905567442562,8.026274077
678377.48,4461638.0,32.29,2.3,6.228905567442562,8.257180675
678377.47,4461638.01,32.77,2.78,6.228905567442562,8.520720281
678377.47,4461638.01,33.26,3.27,6.228032902816566,8.753222225
678377.46,4461638.02,33.77,3.78,6.228032902816566,8.987428532
678377.46,4461638.02,34.29,4.3,6.228032902816566,9.223215186
678377.45,4461638.02,34.81,4.82,6.228032902816566,9.458818994
678377.45,4461638.02,35.35,5.36,6.228032902816566,9.725724801
678377.45,4461638.03,35.89,5.9,6.228032902816566,9.957806082
678377.44,4461638.03,36.44,6.45,6.228032902816566,10.188795635
678377.44,4461638.02,36.98,6.99,6.228032902816566,10.420907326
678377.44,4461638.02,37.49,7.5,6.228032902816566,10.687812476
678377.43,4461638.02,37.97,7.98,6.228032902816566,10.923373888
678377.43,4461638.02,38.4,8.41,6.228032902816566,11.158281604
678377.43,4461638.02,38.77,8.78,6.228032902816566,11.391452942
678377.43,4461638.03,39.07,9.08,6.228032902816566,11.623163849
