x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
429073.42,4580698.24,110.1,0.0,6.2339670222733465,0
429073.42,4580698.24,110.1,0.0,6.2339670222733465,0.163595851
429073.42,4580698.24,110.16,0.06,6.2351887527497425,5.93251608
429073.42,4580698.25,110.3,0.2,6.235014219824543,6.163988467
429073.4,4580698.26,110.52,0.42,6.2348396868993445,6.395712122
429073.39,4580698.27,110.81,0.71,6.234665153974144,6.629334894
429073.38,4580698.27,111.16,1.06,6.234665153974144,6.897896844
429073.37,4580698.27,111.56,1.46,6.2348396868993445,7.13252782
429073.37,4580698.28,112.0,1.9,6.235014219824543,7.365769038
429073.36,4580698.29,112.46,2.36,6.235014219824543,7.597325797
429073.36,4580698.29,112.95,2.85,6.2348396868993445,7.829556856
429073.35,4580698.3,113.45,3.35,6.226113040639372,8.097235729
429073.34,4580698.3,113.95,3.85,6.226113040639372,8.331862777
429073.34,4580698.3,114.47,4.37,6.226113040639372,8.564880177
429073.33,4580698.3,114.99,4.89,6.226113040639372,8.797070988
429073.33,4580698.32,115.53,5.43,6.226113040639372,9.03028604
429073.33,4580698.32,116.07,5.97,6.226113040639372,9.298406642
429073.33,4580698.32,116.62,6.52,6.226113040639372,9.531447943
429073.33,4580698.32,117.15,7.05,6.226113040639372,9.763809039
429073.32,4580698.32,117.67,7.57,6.226113040639372,9.997568955
429073.32,4580698.32,118.14,8.04,6.226113040639372,10.231898775
429073.32,4580698.32,118.56,8.46,6.226113040639372,10.497475482
429073.32,4580698.33,118.92,8.82,6.226113040639372,10.730752518
429073.32,4580698.33,119.21,9.11,6.226113040639372,10.965074744
429073.32,4580698.33,119.43,9.33,6.226113040639372,11.197905926
429073.32,4580698.33,119.59,9.49,6.226113040639372,11.430480502
429073.32,4580698.33,119.72,9.62,6.226113040639372,11.697968982
429073.32,4580698.33,119.8,9.7,6.226113040639372,11.931722025
429073.32,4580698.34,119.87,9.77,6.226113040639372,12.164298098
