x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
429117.93,4580868.35,20.0,0.0,6.227509304040966,0
429117.93,4580868.35,20.0,0.0,6.227509304040966,0.025213153
429117.93,4580868.35,19.99,0.0,6.227858369891366,2.893453216
429117.93,4580868.35,20.01,0.02,6.228207435741766,5.324534406
429117.93,4580868.35,20.03,0.04,6.228207435741766,5.556055297
429117.93,4580868.35,20.05,0.06,6.228207435741766,5.789029872
429117.93,4580868.35,20.08,0.09,6.228381968666964,6.023784375
429117.93,4580868.35,20.12,0.13,6.228207435741766,6.260028631
429117.93,4580868.35,20.23,0.24,6.228207435741766,6.530148162
429117.93,4580868.36,20.43,0.44,6.228032902816566,6.765086442
429117.92,4580868.36,20.71,0.72,6.227858369891366,6.998399795
429117.92,4580868.36,21.05,1.06,6.228032902816566,7.230232073
429117.92,4580868.36,21.44,1.45,6.228032902816566,7.460708744
429117.91,4580868.38,21.87,1.88,6.228207435741766,7.724813801
429117.91,4580868.38,22.33,2.34,6.228207435741766,7.957982125
429117.9,4580868.39,22.81,2.82,6.228207435741766,8.19302009
429117.9,4580868.39,23.31,3.32,6.224367711387377,8.429146787
429117.89,4580868.39,23.83,3.84,6.224367711387377,8.664571587
429117.89,4580868.39,24.35,4.36,6.224542244312577,8.93112915
429117.88,4580868.4,24.87,4.88,6.224542244312577,9.162558113
429117.88,4580868.39,25.41,5.42,6.224542244312577,9.393400447
429117.88,4580868.39,25.95,5.96,6.224542244312577,9.625969266
429117.88,4580868.39,26.49,6.5,6.224542244312577,9.860594893
429117.88,4580868.39,27.02,7.03,6.224542244312577,10.129214528
429117.88,4580868.39,27.53,7.54,6.224367711387377,10.363306535
429117.88,4580868.4,28.01,8.02,6.224542244312577,10.595987578
429117.88,4580868.4,28.44,8.45,6.224542244312577,10.827391041
429117.88,4580868.4,28.81,8.82,6.224542244312577,11.060297165
429117.88,4580868.4,29.1,9.11,6.224542244312577,11.327978923
