x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
430409.39,4580240.11,10.0,0.0,6.234141555198546,0
430409.39,4580240.11,10.0,0.0,6.234141555198546,0.00730329
430409.39,4580240.11,10.01,0.01,6.235363285674941,5.307461693
430409.39,4580240.11,10.04,0.04,6.235363285674941,5.540031436
430409.39,4580240.11,10.06,0.06,6.235363285674941,5.773203624
430409.39,4580240.11,10.09,0.09,6.2355378186001404,6.040220093
430409.39,4580240.11,10.15,0.15,6.235363285674941,6.273244495
430409.39,4580240.11,10.29,0.29,6.2351887527497425,6.506006798
430409.37,4580240.13,10.52,0.52,6.2348396868993445,6.740444578
430409.36,4580240.14,10.82,0.82,6.2348396868993445,6.974105113
430409.35,4580240.14,11.18,1.18,6.2348396868993445,7.239578509
430409.34,4580240.15,11.59,1.59,6.235014219824543,7.473552665
430409.34,4580240.15,12.03,2.03,6.2351887527497425,7.707796807
430409.33,4580240.16,12.5,2.5,6.2351887527497425,7.940099523
430409.32,4580240.16,12.98,2.98,6.2351887527497425,8.172802096
430409.32,4580240.18,13.49,3.49,6.225589441863773,8.438203495
430409.31,4580240.18,14.01,4.01,6.225589441863773,8.672867421
430409.31,4580240.19,14.53,4.53,6.225589441863773,8.908062837
430409.3,4580240.19,15.07,5.07,6.225589441863773,9.141843696
430409.3,4580240.19,15.6,5.6,6.225589441863773,9.373813973
430409.3,4580240.19,16.14,6.14,6.225763974788972,9.638568718
430409.3,4580240.19,16.68,6.68,6.225763974788972,9.872242471
430409.3,4580240.19,17.21,7.21,6.225589441863773,10.107346257
430409.3,4580240.2,17.71,7.71,6.225589441863773,10.341298881
430409.29,4580240.2,18.17,8.17,6.225589441863773,10.573852951
430409.29,4580240.2,18.58,8.58,6.225589441863773,10.841376167
430409.29,4580240.2,18.92,8.92,6.225589441863773,11.071651388
430409.29,4580240.2,19.19,9.19,6.225589441863773,11.30388447
430409.29,4580240.2,19.39,9.39,6.225589441863773,11.54237395
