x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428739.09,4580771.89,10.0,0.0,6.226811172340169,0
428739.09,4580771.89,10.0,0.0,6.226811172340169,0.019014201
428739.09,4580771.89,9.99,0.0,6.227160238190568,3.153301934
428739.09,4580771.89,10.01,0.02,6.227509304040966,5.571467696
428739.09,4580771.89,10.03,0.04,6.227509304040966,5.807136684
428739.09,4580771.89,10.05,0.06,6.227509304040966,6.041485595
428739.09,4580771.89,10.08,0.09,6.227509304040966,6.275515087
428739.09,4580771.89,10.12,0.13,6.227509304040966,6.509431693
428739.08,4580771.89,10.23,0.24,6.227509304040966,6.774632479
428739.08,4580771.89,10.43,0.44,6.227334771115768,7.004179924
428739.07,4580771.9,10.71,0.72,6.227334771115768,7.229114034
428739.07,4580771.9,11.05,1.06,6.227334771115768,7.459298127
428739.07,4580771.9,11.44,1.45,6.227334771115768,7.682662766
428739.06,4580771.9,11.87,1.88,6.227334771115768,7.942171741
428739.07,4580771.91,12.34,2.35,6.227334771115768,8.168341073
428739.06,4580771.91,12.83,2.84,6.227334771115768,8.399767633
428739.06,4580771.91,13.33,3.34,6.224367711387377,8.63088174
428739.05,4580771.92,13.84,3.85,6.224367711387377,8.865757396
428739.05,4580771.92,14.35,4.36,6.224367711387377,9.1311064
428739.05,4580771.92,14.88,4.89,6.224367711387377,9.367571998
428739.05,4580771.92,15.42,5.43,6.224367711387377,9.599256383
428739.05,4580771.92,15.96,5.97,6.224367711387377,9.836710386
428739.05,4580771.92,16.5,6.51,6.224367711387377,10.08084433
428739.05,4580771.92,17.04,7.05,6.224367711387377,10.35785487
428739.05,4580771.92,17.56,7.57,6.224542244312577,10.600555706
428739.05,4580771.93,18.04,8.05,6.224367711387377,10.842364329
428739.05,4580771.93,18.46,8.47,6.224367711387377,11.079921238
428739.04,4580771.93,18.82,8.83,6.224367711387377,11.347917379
428739.04,4580771.93,19.11,9.12,6.224367711387377,11.580216868
