x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
430975.41,4580829.09,50.1,0.0,6.233617956422947,0
430975.41,4580829.09,50.1,0.0,6.233617956422947,0.008077675
430975.41,4580829.09,50.16,0.06,6.2348396868993445,6.475574911
430975.41,4580829.1,50.3,0.2,6.234665153974144,6.706762858
430975.39,4580829.11,50.52,0.42,6.234490621048944,6.97254252
430975.38,4580829.12,50.82,0.72,6.234490621048944,7.207302582
430975.37,4580829.12,51.17,1.07,6.234490621048944,7.443140449
430975.36,4580829.13,51.57,1.47,6.234665153974144,7.677665474
430975.36,4580829.14,52.0,1.9,6.234665153974144,7.910284561
430975.35,4580829.14,52.46,2.36,6.234665153974144,8.174188253
430975.35,4580829.14,52.95,2.85,6.234665153974144,8.407728485
430975.34,4580829.15,53.45,3.35,6.225938507714172,8.641747016
430975.33,4580829.15,53.96,3.86,6.225938507714172,8.879664568
430975.33,4580829.16,54.49,4.39,6.226113040639372,9.112237775
430975.32,4580829.16,55.01,4.91,6.226113040639372,9.375860474
430975.32,4580829.16,55.55,5.45,6.226113040639372,9.607010602
430975.32,4580829.16,56.09,5.99,6.225938507714172,9.83928268
430975.32,4580829.16,56.63,6.53,6.225938507714172,10.072829684
430975.32,4580829.16,57.16,7.06,6.225938507714172,10.308925405
430975.31,4580829.16,57.67,7.57,6.225938507714172,10.577900332
430975.32,4580829.18,58.15,8.05,6.225938507714172,10.812354575
430975.32,4580829.18,58.58,8.48,6.225938507714172,11.045051888
430975.32,4580829.18,58.94,8.84,6.225938507714172,11.276093505
430975.32,4580829.18,59.23,9.13,6.225938507714172,11.507264898
