x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428758.43,4580698.48,50.1,0.0,6.234665153974144,0
428758.43,4580698.48,50.16,0.06,6.23588688445054,5.999289833
428758.42,4580698.48,50.3,0.2,6.2355378186001404,6.269790017
428758.42,4580698.51,50.52,0.42,6.235363285674941,6.505362896
428758.4,4580698.52,50.82,0.72,6.235363285674941,6.736620534
428758.39,4580698.52,51.17,1.07,6.235363285674941,6.96785731
428758.38,4580698.53,51.57,1.47,6.2355378186001404,7.200759869
428758.37,4580698.53,52.0,1.9,6.2355378186001404,7.468884459
428758.37,4580698.54,52.46,2.36,6.2355378186001404,7.702229745
428758.37,4580698.54,52.94,2.84,6.2355378186001404,7.934424615
428758.36,4580698.55,53.44,3.34,6.225938507714172,8.168754649
428758.36,4580698.55,53.95,3.85,6.225938507714172,8.402710676
428758.35,4580698.56,54.47,4.37,6.226113040639372,8.667249148
428758.35,4580698.56,55.0,4.9,6.226113040639372,8.901187952
428758.34,4580698.56,55.54,5.44,6.226113040639372,9.13562026
428758.34,4580698.56,56.08,5.98,6.226113040639372,9.369110455
428758.34,4580698.56,56.62,6.52,6.226113040639372,9.600954153
428758.33,4580698.56,57.15,7.05,6.226113040639372,9.867142499
428758.33,4580698.57,57.66,7.56,6.225938507714172,10.103410367
428758.33,4580698.57,58.14,8.04,6.225938507714172,10.337298462
428758.32,4580698.57,58.56,8.46,6.225938507714172,10.570731537
428758.32,4580698.57,58.93,8.83,6.225938507714172,10.802403931
428758.32,4580698.59,59.22,9.12,6.226113040639372,11.068860558
