FID;FID_buildi;osm_id;name;type;Shape_Leng;startX;startY;endX;endY
59999;1081;645014929.000000000000000; ;apartments;0.000153213805233;2.165124400071079;41.399601599534265;2.165102099582271;41.399585199497437
60000;1081;645014929.000000000000000; ;apartments;0.000153213805233;2.165102099582271;41.399585199497437;2.165040799992994;41.399540100295440
60001;1082;645014930.000000000000000; ;apartments;0.000153213805233;2.165161200329180;41.399634600156730;2.165135899702079;41.399611899469619
60002;1082;645014930.000000000000000; ;apartments;0.000153213805233;2.165135899702079;41.399611899469619;2.165124400071079;41.399601599534265
60003;1082;645014930.000000000000000; ;apartments;0.000153213805233;2.165124400071079;41.399601599534265;2.165102099582271;41.399585199497437
60004;1082;645014930.000000000000000; ;apartments;0.000153213805233;2.165102099582271;41.399585199497437;2.165040799992994;41.399540100295440
60005;1082;645014930.000000000000000; ;apartments;0.000046760103439;2.165161200329180;41.399634600156730;2.165185500010864;41.399617100249031
60006;1082;645014930.000000000000000; ;apartments;0.000046760103439;2.165185500010864;41.399617100249031;2.165202300245994;41.399617799921600
60007;1678;695649864.000000000000000; ;apartments;0.000075861316616;2.173396799522720;41.399591199774079;2.173336400154767;41.399637100272002
60008;1687;695649951.000000000000000; ;apartments;0.000075861316616;2.173396799522720;41.399591199774079;2.173336400154767;41.399637100272002
60009;1708;695656516.000000000000000; ;apartments;0.000092010454247;2.178989599690340;41.399637600295080;2.178981000372914;41.399631600018381
60010;1708;695656516.000000000000000; ;apartments;0.000092010454247;2.178981000372914;41.399631600018381;2.179037199906873;41.399588500009315
60011;1708;695656516.000000000000000; ;apartments;0.000092010454247;2.179037199906873;41.399588500009315;2.179045700298900;41.399595000309091
60012;1103;645046092.000000000000000; ;apartments;0.000107100862517;2.163540399869589;41.399574100064740;2.163625900215152;41.399638600341177
60013;1103;645046092.000000000000000; ;apartments;0.000027645031206;2.163625900215152;41.399638600341177;2.163647699781564;41.399621599557236
60014;1104;645046096.000000000000000; ;apartments;0.000027645031206;2.163625900215152;41.399638600341177;2.163647699781564;41.399621599557236
60015;480;363572405.000000000000000; ;apartments;0.000120962577137;2.179929099848152;41.399641499755489;2.179896100124950;41.399619700189078
60016;480;363572405.000000000000000; ;apartments;0.000120962577137;2.179896100124950;41.399619700189078;2.179858799843771;41.399595000309091
60017;480;363572405.000000000000000; ;apartments;0.000120962577137;2.179858799843771;41.399595000309091;2.179845999793088;41.399581200212253
60018;480;363572405.000000000000000; ;apartments;0.000120962577137;2.179845999793088;41.399581200212253;2.179830699627132;41.399590400276793
60019;1117;645046196.000000000000000; ;apartments;0.000107917716379;2.164280899843675;41.399575299760329;2.164196299719492;41.399642300152095
60020;479;363563600.000000000000000; ;apartments;0.000034345493481;2.179782200088539;41.399624300221319;2.179768200342210;41.399634100133653
60021;479;363563600.000000000000000; ;apartments;0.000034345493481;2.179768200342210;41.399634100133653;2.179782799936334;41.399643300198193
60022;480;363572405.000000000000000; ;apartments;0.000034345493481;2.179782200088539;41.399624300221319;2.179768200342210;41.399634100133653
60023;480;363572405.000000000000000; ;apartments;0.000034345493481;2.179768200342210;41.399634100133653;2.179782799936334;41.399643300198193
60024;483;363601848.000000000000000; ;apartments;0.000034345493481;2.179782200088539;41.399624300221319;2.179768200342210;41.399634100133653
60025;483;363601848.000000000000000; ;apartments;0.000034345493481;2.179768200342210;41.399634100133653;2.179782799936334;41.399643300198193
60026;490;363879477.000000000000000; ;apartments;0.000034345493481;2.179782200088539;41.399624300221319;2.179768200342210;41.399634100133653
60027;490;363879477.000000000000000; ;apartments;0.000034345493481;2.179768200342210;41.399634100133653;2.179782799936334;41.399643300198193
60028;1204;648300815.000000000000000; ;apartments;0.000297913694559;2.168220499676352;41.399644499893782;2.168252000229700;41.399620700235175
60029;1204;648300815.000000000000000; ;apartments;0.000297913694559;2.168252000229700;41.399620700235175;2.168278100354087;41.399600700212204
60030;1204;648300815.000000000000000; ;apartments;0.000297913694559;2.168278100354087;41.399600700212204;2.168265599777669;41.399590799575776
60031;1204;648300815.000000000000000; ;apartments;0.000297913694559;2.168265599777669;41.399590799575776;2.168301099616087;41.399563999778820
60032;1204;648300815.000000000000000; ;apartments;0.000297913694559;2.168301099616087;41.399563999778820;2.168313899666771;41.399573600041663
60033;1204;648300815.000000000000000; ;apartments;0.000297913694559;2.168313899666771;41.399573600041663;2.168346400266216;41.399548800336902
60034;1204;648300815.000000000000000; ;apartments;0.000297913694559;2.168346400266216;41.399548800336902;2.168393899758712;41.399512599926595
60035;1204;648300815.000000000000000; ;apartments;0.000297913694559;2.168393899758712;41.399512599926595;2.168401900127662;41.399506400000405
60036;1204;648300815.000000000000000; ;apartments;0.000297913694559;2.168401900127662;41.399506400000405;2.168432499560254;41.399483200189593
60037;1706;695656500.000000000000000; ;apartments;0.000093445605346;2.179045700298900;41.399595000309091;2.179054900363383;41.399601700258302
60038;1706;695656500.000000000000000; ;apartments;0.000093445605346;2.179054900363383;41.399601700258302;2.179028400040693;41.399622200304350
60039;1706;695656500.000000000000000; ;apartments;0.000093445605346;2.179028400040693;41.399622200304350;2.178998600105331;41.399644499893782
60040;1706;695656500.000000000000000; ;apartments;0.000093445605346;2.178998600105331;41.399644499893782;2.178989599690340;41.399637600295080
60041;1079;645014926.000000000000000; ;apartments;0.000208320958129;2.165237700259695;41.399646300336542;2.165305500148747;41.399593899538900
60042;1079;645014926.000000000000000; ;apartments;0.000208320958129;2.165305500148747;41.399593899538900;2.165346100042541;41.399562399884871
60043;1079;645014926.000000000000000; ;apartments;0.000208320958129;2.165346100042541;41.399562399884871;2.165359300291527;41.399552199774234
60044;1079;645014926.000000000000000; ;apartments;0.000208320958129;2.165359300291527;41.399552199774234;2.165380500010087;41.399535899562181
60045;1079;645014926.000000000000000; ;apartments;0.000208320958129;2.165380500010087;41.399535899562181;2.165402599950085;41.399518999502277
60046;1080;645014927.000000000000000; ;apartments;0.000208320958129;2.165237700259695;41.399646300336542;2.165305500148747;41.399593899538900
60047;1080;645014927.000000000000000; ;apartments;0.000208320958129;2.165305500148747;41.399593899538900;2.165346100042541;41.399562399884871
60048;1080;645014927.000000000000000; ;apartments;0.000208320958129;2.165346100042541;41.399562399884871;2.165359300291527;41.399552199774234
60049;1080;645014927.000000000000000; ;apartments;0.000208320958129;2.165359300291527;41.399552199774234;2.165380500010087;41.399535899562181
60050;1080;645014927.000000000000000; ;apartments;0.000208320958129;2.165380500010087;41.399535899562181;2.165402599950085;41.399518999502277
60051;478;363563327.000000000000000; ;apartments;0.000427747798115;2.179815000162193;41.399409300199125;2.179961300074012;41.399516399562231
60052;478;363563327.000000000000000; ;apartments;0.000427747798115;2.179961300074012;41.399516399562231;2.179981700295286;41.399531500078695
60053;478;363563327.000000000000000; ;apartments;0.000427747798115;2.179981700295286;41.399531500078695;2.179991000184543;41.399523200235535
60054;478;363563327.000000000000000; ;apartments;0.000427747798115;2.179991000184543;41.399523200235535;2.180029799635577;41.399551500101722
60055;478;363563327.000000000000000; ;apartments;0.000427747798115;2.180029799635577;41.399551500101722;2.180079800142721;41.399587999986238
60056;478;363563327.000000000000000; ;apartments;0.000427747798115;2.180079800142721;41.399587999986238;2.180069799681576;41.399597200050778
60057;478;363563327.000000000000000; ;apartments;0.000427747798115;2.180069799681576;41.399597200050778;2.180086900290291;41.399609599903158
60058;478;363563327.000000000000000; ;apartments;0.000427747798115;2.180086900290291;41.399609599903158;2.180138700340820;41.399647099833828
60059;33;185444041.000000000000000; ;apartments;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60060;34;185444055.000000000000000; ;apartments;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60061;416;355357453.000000000000000;Repsol;service;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60062;478;363563327.000000000000000; ;apartments;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60063;479;363563600.000000000000000; ;apartments;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60064;481;363583532.000000000000000; ;apartments;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60065;482;363600295.000000000000000; ;apartments;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60066;483;363601848.000000000000000; ;apartments;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60067;490;363879477.000000000000000; ;apartments;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60068;706;402753014.000000000000000; ;apartments;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60069;709;402753017.000000000000000; ;apartments;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60070;719;402753027.000000000000000; ;apartments;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60071;877;543374600.000000000000000; ;apartments;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60072;878;543374601.000000000000000; ;apartments;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60073;1980;775788643.000000000000000; ; ;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60074;1981;775803760.000000000000000; ;apartments;0.000158904487472;2.180138700340820;41.399647099833828;2.180265100054385;41.399550799529834
60075;1079;645014926.000000000000000; ;apartments;0.000055605101483;2.165202300245994;41.399617799921600;2.165202599720260;41.399628500055314
60076;1079;645014926.000000000000000; ;apartments;0.000055605101483;2.165202599720260;41.399628500055314;2.165231100135202;41.399651399492541
60077;1079;645014926.000000000000000; ;apartments;0.000055605101483;2.165231100135202;41.399651399492541;2.165237700259695;41.399646300336542
60078;1678;695649864.000000000000000; ;apartments;0.000102260612439;2.173478799706913;41.399652299713921;2.173396799522720;41.399591199774079
60079;1116;645046195.000000000000000; ;apartments;0.000512578274898;2.164551100253107;41.399653299760018;2.164519599699815;41.399633299737047
60080;1116;645046195.000000000000000; ;apartments;0.000512578274898;2.164519599699815;41.399633299737047;2.164482800341034;41.399609900276744
60081;1116;645046195.000000000000000; ;apartments;0.000512578274898;2.164482800341034;41.399609900276744;2.164443800341132;41.399585099672663
60082;1116;645046195.000000000000000; ;apartments;0.000512578274898;2.164443800341132;41.399585099672663;2.164378700216901;41.399543599557546
60083;1116;645046195.000000000000000; ;apartments;0.000512578274898;2.164378700216901;41.399543599557546;2.164338499622090;41.399518100180217
60084;1116;645046195.000000000000000; ;apartments;0.000512578274898;2.164338499622090;41.399518100180217;2.164298999599225;41.399493000101927
60085;1116;645046195.000000000000000; ;apartments;0.000512578274898;2.164298999599225;41.399493000101927;2.164291500152672;41.399488199520817
60086;1116;645046195.000000000000000; ;apartments;0.000512578274898;2.164291500152672;41.399488199520817;2.164118600093389;41.399378199844080
60087;1118;645046198.000000000000000; ;apartments;0.000512578274898;2.164551100253107;41.399653299760018;2.164519599699815;41.399633299737047
60088;1118;645046198.000000000000000; ;apartments;0.000512578274898;2.164519599699815;41.399633299737047;2.164482800341034;41.399609900276744
60089;1118;645046198.000000000000000; ;apartments;0.000512578274898;2.164482800341034;41.399609900276744;2.164443800341132;41.399585099672663
60090;1118;645046198.000000000000000; ;apartments;0.000512578274898;2.164443800341132;41.399585099672663;2.164378700216901;41.399543599557546
60091;1118;645046198.000000000000000; ;apartments;0.000512578274898;2.164378700216901;41.399543599557546;2.164338499622090;41.399518100180217
60092;1118;645046198.000000000000000; ;apartments;0.000512578274898;2.164338499622090;41.399518100180217;2.164298999599225;41.399493000101927
60093;1118;645046198.000000000000000; ;apartments;0.000512578274898;2.164298999599225;41.399493000101927;2.164291500152672;41.399488199520817
60094;1118;645046198.000000000000000; ;apartments;0.000512578274898;2.164291500152672;41.399488199520817;2.164118600093389;41.399378199844080
60095;1118;645046198.000000000000000; ;apartments;0.000208490644220;2.164551100253107;41.399653299760018;2.164601900257537;41.399613299714076
60096;1118;645046198.000000000000000; ;apartments;0.000208490644220;2.164601900257537;41.399613299714076;2.164655300202014;41.399575799783406
60097;1118;645046198.000000000000000; ;apartments;0.000208490644220;2.164655300202014;41.399575799783406;2.164717900210974;41.399528300290854
60098;1687;695649951.000000000000000; ;apartments;0.000059726182832;2.173313399993447;41.399654700004476;2.173301000141066;41.399645800313465
60099;1687;695649951.000000000000000; ;apartments;0.000059726182832;2.173301000141066;41.399645800313465;2.173324100127161;41.399628000032237
60100;1687;695649951.000000000000000; ;apartments;0.000059726182832;2.173324100127161;41.399628000032237;2.173336400154767;41.399637100272002
60101;999;643554313.000000000000000; ;apartments;0.000099020516113;2.163311099727537;41.399657499593957;2.163276199736856;41.399631099995304
60102;999;643554313.000000000000000; ;apartments;0.000099020516113;2.163276199736856;41.399631099995304;2.163232099681693;41.399597799898572
60103;479;363563600.000000000000000; ;apartments;0.000063767828421;2.182456499667751;41.399658299990620;2.182490500336371;41.399632299690950
60104;479;363563600.000000000000000; ;apartments;0.000063767828421;2.182490500336371;41.399632299690950;2.182497599584622;41.399638299967648
60105;479;363563600.000000000000000; ;apartments;0.000063767828421;2.182497599584622;41.399638299967648;2.182507309564755;41.399631826647521
60106;481;363583532.000000000000000; ;apartments;0.000063767828421;2.182456499667751;41.399658299990620;2.182490500336371;41.399632299690950
60107;481;363583532.000000000000000; ;apartments;0.000063767828421;2.182490500336371;41.399632299690950;2.182497599584622;41.399638299967648
60108;481;363583532.000000000000000; ;apartments;0.000063767828421;2.182497599584622;41.399638299967648;2.182507309564755;41.399631826647521
60109;482;363600295.000000000000000; ;apartments;0.000063767828421;2.182456499667751;41.399658299990620;2.182490500336371;41.399632299690950
60110;482;363600295.000000000000000; ;apartments;0.000063767828421;2.182490500336371;41.399632299690950;2.182497599584622;41.399638299967648
60111;482;363600295.000000000000000; ;apartments;0.000063767828421;2.182497599584622;41.399638299967648;2.182507309564755;41.399631826647521
60112;863;507842038.000000000000000; ;apartments;0.000063767828421;2.182456499667751;41.399658299990620;2.182490500336371;41.399632299690950
60113;863;507842038.000000000000000; ;apartments;0.000063767828421;2.182490500336371;41.399632299690950;2.182497599584622;41.399638299967648
60114;863;507842038.000000000000000; ;apartments;0.000063767828421;2.182497599584622;41.399638299967648;2.182507309564755;41.399631826647521
60115;77;217164651.000000000000000; ; ;0.000261057203596;2.182684600114271;41.399498100157246;2.182890099698398;41.399659099487906
60116;470;363552049.000000000000000; ;apartments;0.000261057203596;2.182684600114271;41.399498100157246;2.182890099698398;41.399659099487906
60117;479;363563600.000000000000000; ;apartments;0.000261057203596;2.182684600114271;41.399498100157246;2.182890099698398;41.399659099487906
60118;481;363583532.000000000000000; ;apartments;0.000261057203596;2.182684600114271;41.399498100157246;2.182890099698398;41.399659099487906
60119;482;363600295.000000000000000; ;apartments;0.000261057203596;2.182684600114271;41.399498100157246;2.182890099698398;41.399659099487906
60120;788;457522136.000000000000000; ;apartments;0.000261057203596;2.182684600114271;41.399498100157246;2.182890099698398;41.399659099487906
60121;789;457523864.000000000000000; ;apartments;0.000261057203596;2.182684600114271;41.399498100157246;2.182890099698398;41.399659099487906
