x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428266.8,4581378.02,50.1,0.0,6.2364104832261384,0
428266.8,4581378.02,50.1,0.0,6.2364104832261384,0.101630663
428266.8,4581378.01,50.1,0.0,6.236934082001737,2.752028307
428266.8,4581378.02,50.1,0.0,6.237108614926935,2.979825505
428266.8,4581378.01,50.1,0.0,6.237283147852136,3.69801003
428266.8,4581378.01,50.15,0.05,6.237632213702534,6.13338109
428266.79,4581378.02,50.28,0.18,6.237283147852136,6.37138413
428266.78,4581378.04,50.5,0.4,6.237108614926935,6.603359752
428266.76,4581378.05,50.78,0.68,6.237108614926935,6.833488939
428266.76,4581378.06,51.13,1.03,6.237108614926935,7.061374899
428266.75,4581378.07,51.52,1.42,6.237283147852136,7.319707061
428266.74,4581378.07,51.95,1.85,6.237283147852136,7.546950075
428266.73,4581378.08,52.41,2.31,6.237283147852136,7.775727594
428266.72,4581378.09,52.89,2.79,6.237283147852136,8.006178658
428266.72,4581378.09,53.39,3.29,6.226462106489771,8.238281298
428266.72,4581378.09,53.9,3.8,6.226462106489771,8.505053474
428266.72,4581378.1,54.42,4.32,6.226462106489771,8.740609584
428266.71,4581378.1,54.94,4.84,6.22663663941497,8.97779352
428266.71,4581378.11,55.47,5.37,6.226462106489771,9.216545723
428266.7,4581378.11,56.01,5.91,6.226462106489771,9.489224657
428266.7,4581378.11,56.55,6.45,6.226287573564571,9.726442704
428266.69,4581378.11,57.09,6.99,6.226462106489771,9.962418949
428266.69,4581378.11,57.61,7.51,6.226462106489771,10.196564724
428266.68,4581378.11,58.09,7.99,6.226462106489771,10.430897415
428266.68,4581378.11,58.52,8.42,6.226462106489771,10.694490372
428266.68,4581378.13,58.88,8.78,6.226462106489771,10.923524294
428266.68,4581378.13,59.18,9.08,6.226462106489771,11.151802936
428266.68,4581378.13,59.4,9.3,6.226462106489771,11.381436891
